Player;Nation;Pos;Squad;Comp;Age;MP;Starts;Goals;Shots
Marko Lazeti?;SRB;FW;Milan;Serie A;19;1;0;0;10
Darko Lazovi?;SRB;DFMF;Hellas Verona;Serie A;32;17;16;3;1.7
Manuel Lazzari;ITA;DF;Lazio;Serie A;29;18;15;0;0.22
Théo Le Bris;FRA;MFDF;Lorient;Ligue 1;20;16;11;2;0.85
Julien Le Cardinal;FRA;DF;Lens;Ligue 1;25;3;1;0;5.56
Jérémy Le Douaron;FRA;FWMF;Brest;Ligue 1;24;17;10;5;2.83
Enzo Le Fée;FRA;MF;Lorient;Ligue 1;23;22;22;4;1.36
Vincent Le Goff;FRA;DF;Lorient;Ligue 1;33;22;22;0;0.45
Maxime Le Marchand;FRA;DF;Strasbourg;Ligue 1;33;18;15;0;0.42
Robin Le Normand;FRA;DF;Real Sociedad;La Liga;26;17;15;0;0.2
Rafael Leão;POR;FWMF;Milan;Serie A;23;21;17;8;3.55
Paolo Lebas;POR;MF;Ajaccio;Ligue 1;19;1;0;0;0
Benjamin Lecomte;FRA;GK;Espanyol;La Liga;31;10;10;0;0
Benjamin Lecomte;FRA;GK;Montpellier;Ligue 1;31;3;3;0;0
Jeremías Ledesma;ARG;GK;Cádiz;La Liga;29;21;21;0;0
Pierre Lees-Melou;FRA;MF;Brest;Ligue 1;29;17;17;3;1.59
Diogo Leite;POR;DF;Union Berlin;Bundesliga;24;17;17;0;0.43
Maxim Leitsch;GER;DF;Mainz 05;Bundesliga;24;9;7;0;0.27
Florian Lejeune;FRA;DF;Rayo Vallecano;La Liga;31;18;18;3;1.52
Iñigo Lekue;ESP;DF;Athletic Club;La Liga;29;16;12;0;0.7
Thomas Lemar;FRA;MF;Atlético Madrid;La Liga;27;15;9;0;0.81
Félix Lemaréchal;CIV;MF;Brest;Ligue 1;19;1;0;0;0
Dexter Lembikisa;JAM;DF;Wolves;Premier League;19;1;0;0;0
Mario Lemina;GAB;MF;Wolves;Premier League;29;4;3;0;0.48
Mario Lemina;GAB;MFDF;Nice;Ligue 1;29;14;11;0;0.65
Tim Lemperle;GER;FW;Köln;Bundesliga;21;6;0;0;1.11
Clément Lenglet;FRA;DF;Tottenham;Premier League;27;13;11;0;0.67
Bernd Leno;GER;GK;Fulham;Premier League;30;21;21;0;0
Christopher Lenz;GER;DF;Eint Frankfurt;Bundesliga;28;12;5;0;1.03
Sergio León;ESP;FW;Valladolid;La Liga;34;17;11;5;1.88
Johann Lepenant;FRA;MF;Lyon;Ligue 1;20;17;13;1;1.13
Mehdi Léris;ALG;MFDF;Sampdoria;Serie A;24;19;16;0;0.99
Jefferson Lerma;COL;MFDF;Bournemouth;Premier League;28;22;22;2;0.73
Benjamin Leroy;FRA;GK;Ajaccio;Ligue 1;33;20;20;0;0
Léo Leroy;FRA;MF;Montpellier;Ligue 1;22;16;8;0;1.27
Ruan Levine;BRA;MF;Ajaccio;Ligue 1;24;1;0;0;10
Robert Lewandowski;POL;FW;Barcelona;La Liga;34;17;16;14;4.32
Jamie Leweling;GER;FW;Union Berlin;Bundesliga;21;9;0;1;4.29
Jamal Lewis;NIR;DF;Newcastle Utd;Premier League;25;1;0;0;0
Rico Lewis;ENG;DFMF;Manchester City;Premier League;18;9;5;0;0.2
Keane Lewis-Potter;ENG;FWMF;Brentford;Premier League;21;9;3;0;2.06
Dimitri Liénard;FRA;DFMF;Strasbourg;Ligue 1;34;17;12;0;1.03
Philipp Lienhart;AUT;DF;Freiburg;Bundesliga;26;20;19;1;0.52
Matthijs de Ligt;NED;DF;Bayern Munich;Bundesliga;23;17;14;1;0.67
Victor Lindelöf;SWE;DF;Manchester Utd;Premier League;28;8;4;0;0
Jesper Lindstrøm;DEN;MFFW;Eint Frankfurt;Bundesliga;22;18;16;7;2.54
Karol Linetty;POL;MF;Torino;Serie A;28;21;14;1;0.8
Jesse Lingard;ENG;FWMF;Nott'ham Forest;Premier League;30;14;11;0;1.04
Pol Lirola;ESP;DF;Elche;La Liga;25;8;7;1;0.16
Mateusz Lis;POL;GK;Troyes;Ligue 1;25;7;7;0;0
Marcin Listkowski;POL;MFFW;Lecce;Serie A;25;5;0;0;1.11
Dejan Ljubicic;AUT;MF;Köln;Bundesliga;25;13;9;3;2.12
Javier Llabrés;ESP;FW;Mallorca;La Liga;20;1;0;0;0
Diego Llorente;ESP;DF;Leeds United;Premier League;29;8;7;0;0.83
Diego Llorente;ESP;DF;Roma;Serie A;29;1;0;0;0
Marcos Llorente;ESP;MFDF;Atlético Madrid;La Liga;28;13;12;1;1.06
Hugo Lloris;FRA;GK;Tottenham;Premier League;36;21;21;0;0
Giovani Lo Celso;ARG;MFFW;Villarreal;La Liga;26;8;8;1;2.24
Stanislav Lobotka;SVK;MF;Napoli;Serie A;28;21;19;1;0.26
Manuel Locatelli;ITA;MF;Juventus;Serie A;25;18;17;0;1.03
Luka Lochoshvili;GEO;DF;Cremonese;Serie A;24;14;14;0;0.32
Banzouzi Locko;FRA;DF;Reims;Ligue 1;20;15;13;0;0.42
Renan Lodi;BRA;DF;Nott'ham Forest;Premier League;24;14;13;0;0.74
Ruben Loftus-Cheek;ENG;MFDF;Chelsea;Premier League;27;15;13;0;0.78
Sean Longstaff;ENG;MF;Newcastle Utd;Premier League;25;22;18;1;1.07
Ademola Lookman;NGA;FWMF;Atalanta;Serie A;25;21;16;12;2.64
Anthony Lopes;POR;GK;Lyon;Ligue 1;32;19;19;0;0
Rony Lopes;POR;MFFW;Troyes;Ligue 1;27;18;16;4;2.68
David López;ESP;DF;Girona;La Liga;33;11;11;2;0.77
Diego López;ESP;GK;Rayo Vallecano;La Liga;41;1;1;0;0
Maxime Lopez;FRA;MF;Sassuolo;Serie A;25;14;12;0;0.48
Pau López;ESP;GK;Marseille;Ligue 1;28;19;19;0;0
Unai López;ESP;MF;Rayo Vallecano;La Liga;27;19;9;1;1.82
Dion Lopy;SEN;MF;Reims;Ligue 1;21;17;9;0;0.74
Anthony Losilla;FRA;MF;Bochum;Bundesliga;36;20;20;0;0.66
Jordan Lotomba;SUI;DFMF;Nice;Ligue 1;24;22;18;0;0.38
Matteo Lovato;ITA;DF;Salernitana;Serie A;22;7;4;0;0.24
Dejan Lovren;CRO;DF;Lyon;Ligue 1;33;5;5;0;2.13
Sandi Lovri?;SVN;MF;Udinese;Serie A;24;20;12;2;3.1
Jamal Lowe;JAM;MFFW;Bournemouth;Premier League;28;2;0;0;0
Anthony Lozano;HON;FW;Cádiz;La Liga;29;19;12;0;1.73
Hirving Lozano;MEX;FW;Napoli;Serie A;27;20;11;3;2.75
Pol Lozano;ESP;MF;Espanyol;La Liga;23;4;0;0;0
Jean Lucas;BRA;MF;Monaco;Ligue 1;24;6;3;0;1.56
Jhon Lucumí;COL;DF;Bologna;Serie A;24;18;18;0;0.35
José Luis Gayà;ESP;DF;Valencia;La Liga;27;17;17;1;0.79
José Luis Morales;ESP;FWMF;Villarreal;La Liga;35;19;4;1;2.58
José Luis Palomino;ARG;DF;Atalanta;Serie A;33;6;5;1;0.68
Douglas Luiz;BRA;MF;Aston Villa;Premier League;24;20;16;2;1.07
Romelu Lukaku;BEL;FW;Inter;Serie A;29;9;4;1;2.05
Castello Lukeba;FRA;DF;Lyon;Ligue 1;20;19;18;1;0.27
Dodi Lukebakio;BEL;FWMF;Hertha BSC;Bundesliga;25;18;18;7;2.36
Saša Luki?;SRB;MF;Fulham;Premier League;26;1;0;0;0
Saša Luki?;SRB;MF;Torino;Serie A;26;16;13;2;1.13
Andriy Lunin;UKR;GK;Real Madrid;La Liga;24;5;5;0;0
Andrey Lunyov;RUS;GK;Leverkusen;Bundesliga;31;1;1;0;0
Sebastiano Luperto;ITA;DF;Empoli;Serie A;26;20;20;1;0.32
Lyanco;BRA;DF;Southampton;Premier League;26;13;7;0;1.04
Charalambos Lykogiannis;GRE;DF;Bologna;Serie A;29;16;10;1;1.62
Youssouf M'Changama;COM;MF;Auxerre;Ligue 1;32;18;6;0;1.59
Awer Mabil;AUS;MFFW;Cádiz;La Liga;27;5;1;0;1.67
Alexis Mac Allister;ARG;MF;Brighton;Premier League;24;18;17;5;2.03
Deiver Machado;COL;DFMF;Lens;Ligue 1;29;19;16;1;0.65
Darwin Machís;VEN;FW;Valladolid;La Liga;30;2;2;0;1.5
James Maddison;ENG;MFFW;Leicester City;Premier League;26;16;15;9;3.19
Noni Madueke;ENG;FW;Chelsea;Premier League;20;2;1;0;1.67
Pablo Maffeo;ESP;DF;Mallorca;La Liga;25;19;18;1;0.58
Lisandro Magallán;ARG;DF;Elche;La Liga;29;3;1;0;0
Soungoutou Magassa;MLI;MF;Monaco;Ligue 1;19;1;0;0;0
Giulio Maggiore;ITA;MF;Salernitana;Serie A;24;10;9;0;0.55
Giangiacomo Magnani;ITA;DF;Hellas Verona;Serie A;27;9;4;0;0.85
Hugo Magnetti;FRA;MF;Brest;Ligue 1;24;18;10;0;1.04
Yohann Magnin;FRA;MFDF;Clermont Foot;Ligue 1;25;23;18;0;0.54
Harry Maguire;ENG;DF;Manchester Utd;Premier League;29;9;4;0;0.23
Jon Magunacelaya;ESP;MFFW;Real Sociedad;La Liga;22;2;0;0;1.43
Riyad Mahrez;ALG;FWMF;Manchester City;Premier League;31;16;10;4;2.4
Arne Maier;GER;MF;Augsburg;Bundesliga;24;16;11;1;1.36
Mike Maignan;FRA;GK;Milan;Serie A;27;7;7;0;0
Linton Maina;GER;FWMF;Köln;Bundesliga;23;18;13;2;1.89
Ainsley Maitland-Niles;ENG;MFDF;Southampton;Premier League;25;11;6;0;0
Lovro Majer;CRO;MFFW;Rennes;Ligue 1;25;17;9;1;1.8
Jean-Victor Makengo;FRA;MF;Udinese;Serie A;24;16;11;0;0.79
Jean-Victor Makengo;FRA;MF;Lorient;Ligue 1;24;2;1;0;0.71
Béni Makouana;CGO;FWMF;Montpellier;Ligue 1;20;8;1;0;2.73
Nemanja Maksimovi?;SRB;MF;Getafe;La Liga;28;12;10;0;0.51
Tyrell Malacia;NED;DF;Manchester Utd;Premier League;23;13;9;0;0.32
Lorenzo Malagrida;ITA;MF;Sampdoria;Serie A;19;1;0;0;10
Daniel Maldini;ITA;FWMF;Spezia;Serie A;21;9;1;1;1.94
Youssef Maleh;ITA;MF;Fiorentina;Serie A;24;7;4;0;2.12
Youssef Maleh;ITA;MF;Lecce;Serie A;24;5;2;0;1.5
Donyell Malen;NED;FW;Dortmund;Bundesliga;24;13;11;0;2.64
Ruslan Malinovskyi;UKR;MFFW;Atalanta;Serie A;29;15;5;1;3.11
Ruslan Malinovskyi;UKR;MFFW;Marseille;Ligue 1;29;6;4;1;3.41
Hugo Mallo;ESP;DF;Celta Vigo;La Liga;31;15;15;0;0.9
Mickael Malsa;MTQ;MF;Valladolid;La Liga;27;5;0;0;0
Giorgi Mamardashvili;GEO;GK;Valencia;La Liga;22;21;21;0;0
Hianga Mananga Mbock;FRA;MF;Brest;Ligue 1;23;2;0;0;0
Gianluca Mancini;ITA;DF;Roma;Serie A;26;22;22;0;0.64
Steve Mandanda;FRA;GK;Rennes;Ligue 1;37;20;20;0;0
Reinildo Mandava;MOZ;DF;Atlético Madrid;La Liga;29;19;19;0;0.33
Aïssa Mandi;ALG;DF;Villarreal;La Liga;31;9;5;0;0.2
Rolando Mandragora;ITA;MF;Fiorentina;Serie A;25;15;10;1;2.16
Sadio Mané;SEN;FW;Bayern Munich;Bundesliga;30;14;12;6;3.86
Orel Mangala;BEL;MF;Nott'ham Forest;Premier League;24;14;10;0;0.78
Thomas Mangani;FRA;MF;Ajaccio;Ligue 1;35;18;9;1;0.61
Vito Mannone;ITA;GK;Lorient;Ligue 1;34;9;8;0;0
Javier Manquillo;ESP;DF;Newcastle Utd;Premier League;28;1;0;0;0
Myziane Maolida;FRA;FW;Reims;Ligue 1;23;1;0;0;0
Myziane Maolida;FRA;FWMF;Hertha BSC;Bundesliga;23;3;1;0;0
Faitout Maouassa;FRA;DFFW;Montpellier;Ligue 1;24;20;14;1;1.14
Sekou Mara;FRA;FWMF;Southampton;Premier League;20;14;3;0;3.89
Maranhão;BRA;FWMF;Valencia;La Liga;26;15;3;1;3.54
Marcão;BRA;DF;Sevilla;La Liga;26;4;4;0;0
Solly March;ENG;FWDF;Brighton;Premier League;28;21;21;5;2.34
Agustín Marchesín;ARG;GK;Celta Vigo;La Liga;34;19;19;0;0
Vincent Marchetti;FRA;MF;Ajaccio;Ligue 1;25;21;20;0;1.41
Riccardo Marchizza;ITA;DF;Sassuolo;Serie A;24;4;1;0;0
Gian Marco Ferrari;ITA;DF;Sassuolo;Serie A;30;19;17;1;0.29
Emiliano Marcondes;DEN;MF;Bournemouth;Premier League;27;1;0;0;0
Óscar de Marcos;ESP;DF;Athletic Club;La Liga;33;21;19;0;0.06
José Mari;ESP;MF;Cádiz;La Liga;35;12;2;0;0.56
Pablo Marí;ESP;DF;Monza;Serie A;29;14;12;1;0.4
José María Giménez;URU;DF;Atlético Madrid;La Liga;28;12;11;0;1.25
Mariano;DOM;FW;Real Madrid;La Liga;29;5;0;0;6
Pablo Marín;ESP;MFFW;Real Sociedad;La Liga;19;7;3;0;1.94
R?zvan Marin;ROU;MF;Empoli;Serie A;26;21;16;2;1.26
Guillermo Maripán;CHI;DF;Monaco;Ligue 1;28;18;17;3;0.73
Marlon;BRA;DF;Monza;Serie A;27;17;13;0;0.25
Omar Marmoush;EGY;FW;Wolfsburg;Bundesliga;24;19;8;3;2.95
Marquinhos;BRA;MF;Arsenal;Premier League;19;1;0;0;0
Marquinhos;BRA;DF;Paris S-G;Ligue 1;28;22;20;2;0.59
Luca Marrone;ITA;DF;Monza;Serie A;32;2;2;0;0.67
Eric Martel;GER;MF;Köln;Bundesliga;20;16;11;0;1.05
Roger Martí;ESP;FW;Elche;La Liga;32;12;8;0;0.82
Roger Martí;ESP;FW;Cádiz;La Liga;32;3;2;0;0.59
Anthony Martial;FRA;FW;Manchester Utd;Premier League;27;9;6;3;2.16
Aarón Martín;ESP;DF;Mainz 05;Bundesliga;25;17;17;3;0.82
Ander Martin;ESP;MFFW;Real Sociedad;La Liga;22;3;0;0;0
Andrés Martín;ESP;FW;Rayo Vallecano;La Liga;23;4;2;0;1.33
Iván Martín;ESP;MFFW;Girona;La Liga;23;9;6;2;1.29
Jonas Martin;FRA;MF;Lille;Ligue 1;32;9;1;0;0.48
Martinelli;BRA;FW;Arsenal;Premier League;21;21;21;7;2.71
Arnau Martinez;ESP;DF;Girona;La Liga;19;17;16;2;1
Emiliano Martínez;ARG;GK;Aston Villa;Premier League;30;19;19;0;0
Iñigo Martínez;ESP;DF;Athletic Club;La Liga;31;9;9;0;0.78
Lautaro Martínez;ARG;FW;Inter;Serie A;25;21;19;12;3.92
Lisandro Martínez;ARG;DF;Manchester Utd;Premier League;25;20;18;1;0.23
Lucas Martínez Quarta;ARG;DF;Fiorentina;Serie A;26;15;13;1;1.22
Roger Martínez;ESP;DF;Espanyol;La Liga;18;1;0;0;10
Gelson Martins;POR;MFFW;Monaco;Ligue 1;27;10;3;0;3.24
Adam Maruši?;MNE;DF;Lazio;Serie A;30;22;21;0;0.52
Omar Mascarell;ESP;MF;Elche;La Liga;30;18;18;0;0.29
Adam Masina;MAR;DF;Udinese;Serie A;29;4;4;1;0.29
Jordi Masip;ESP;GK;Valladolid;La Liga;34;15;15;0;0
Erhan Mašovi?;SRB;DFMF;Bochum;Bundesliga;24;16;10;2;0.35
Han-Noah Massengo;FRA;MFDF;Auxerre;Ligue 1;21;2;1;0;0.83
Yanis Massolin;FRA;MF;Clermont Foot;Ligue 1;20;4;0;0;0
Jaime Mata;ESP;FW;Getafe;La Liga;34;6;0;0;2
Pape Matar Sarr;SEN;MF;Tottenham;Premier League;20;4;1;0;0.67
Eliot Matazo;BEL;MFFW;Monaco;Ligue 1;20;11;6;0;0.17
Jean-Philippe Mateta;FRA;FW;Crystal Palace;Premier League;25;18;4;1;3.16
Nemanja Mati?;SRB;MF;Roma;Serie A;34;22;11;1;0.59
Joël Matip;CMR;DF;Liverpool;Premier League;31;9;7;0;0
Henning Matriciani;GER;DF;Schalke 04;Bundesliga;22;10;10;0;0.1
Chrislain Matsima;FRA;DFMF;Lorient;Ligue 1;20;6;2;0;0.4
Azor Matusiwa;NED;MF;Reims;Ligue 1;24;16;15;0;0.34
Neal Maupay;FRA;FW;Everton;Premier League;26;14;7;1;2.03
Aïman Maurer;MAR;MF;Clermont Foot;Ligue 1;18;2;2;0;1.25
Stephy Mavididi;ENG;FW;Montpellier;Ligue 1;24;12;11;2;2.05
Konstantinos Mavropanos;GRE;DF;Stuttgart;Bundesliga;25;17;16;2;1.84
Christian Mawissa;FRA;DF;Toulouse;Ligue 1;17;2;1;0;0
Philipp Max;GER;DF;Eint Frankfurt;Bundesliga;29;1;1;0;1.25
Eric Maxim Choupo-Moting;CMR;FW;Bayern Munich;Bundesliga;33;14;10;7;2.47
Luís Maximiano;POR;GK;Lazio;Serie A;24;1;1;0;0
Fernand Mayembo;CGO;DF;Ajaccio;Ligue 1;27;8;6;0;0.67
Borja Mayoral;ESP;FW;Getafe;La Liga;25;20;20;4;1.56
Noussair Mazraoui;MAR;DF;Bayern Munich;Bundesliga;25;11;6;0;0.65
Pasquale Mazzocchi;ITA;DF;Salernitana;Serie A;27;15;15;2;0.83
Kevin Mbabu;SUI;DFFW;Fulham;Premier League;27;6;1;0;0
Kylian Mbappé;FRA;FW;Paris S-G;Ligue 1;24;19;17;13;4.42
Mamadou Mbaye;SEN;DF;Cádiz;La Liga;24;7;6;0;0.17
Chancel Mbemba;COD;DF;Marseille;Ligue 1;28;23;22;2;0.75
Bryan Mbeumo;CMR;FW;Brentford;Premier League;23;22;22;5;1.96
Jason Mbock;FRA;MFFW;Angers;Ligue 1;23;2;0;0;0
Nathanael Mbuku;FRA;FWMF;Reims;Ligue 1;20;6;0;0;2.86
John McGinn;SCO;MF;Aston Villa;Premier League;28;17;14;0;1.54
Scott McKenna;SCO;DF;Nott'ham Forest;Premier League;26;18;17;0;0.12
Weston McKennie;USA;MF;Leeds United;Premier League;24;2;1;0;0
Weston McKennie;USA;MFDF;Juventus;Serie A;24;15;13;1;0.68
Dwight McNeil;ENG;FWDF;Everton;Premier League;23;19;11;2;1.19
Scott McTominay;SCO;MF;Manchester Utd;Premier League;26;15;7;0;0.83
Gary Medel;CHI;MFDF;Bologna;Serie A;35;17;16;0;0.14
Facundo Medina;ARG;DF;Lens;Ligue 1;23;20;20;1;0.42
Ben Mee;ENG;DF;Brentford;Premier League;33;21;21;3;0.74
Bamo Meïté;CIV;DF;Lorient;Ligue 1;21;3;2;0;0.36
Soualiho Meïté;FRA;MF;Cremonese;Serie A;28;15;14;0;0.79
Farid El Melali;ALG;FWDF;Angers;Ligue 1;25;9;5;0;1.36
Gonzalo Melero;ESP;MF;Almería;La Liga;29;15;14;2;1.17
Birger Meling;NOR;DF;Rennes;Ligue 1;28;16;4;0;0
Memphis;NED;FW;Barcelona;La Liga;28;2;2;1;4.62
Memphis;NED;FW;Atlético Madrid;La Liga;28;2;0;0;5
Houboulang Mendes;FRA;DF;Almería;La Liga;24;11;8;0;0.13
Nuno Mendes;POR;DFMF;Paris S-G;Ligue 1;20;14;10;1;0.5
Thiago Mendes;BRA;DFMF;Lyon;Ligue 1;30;20;17;0;0.61
Brais Méndez;ESP;MF;Real Sociedad;La Liga;26;19;17;7;2.36
Diego Méndez;ESP;MF;Rayo Vallecano;La Liga;19;1;0;0;0
Antoine Mendy;FRA;DF;Nice;Ligue 1;18;6;2;0;2.63
Arial Mendy;SEN;DF;Clermont Foot;Ligue 1;28;5;1;0;0.8
Batista Mendy;FRA;MFDF;Angers;Ligue 1;23;20;20;0;0.33
Edouard Mendy;SEN;GK;Chelsea;Premier League;30;9;8;0;0
Ferland Mendy;FRA;DF;Real Madrid;La Liga;27;14;14;0;0.08
Nampalys Mendy;SEN;MF;Leicester City;Premier League;30;11;3;1;0.43
Gideon Mensah;GHA;DF;Auxerre;Ligue 1;24;13;13;0;0.16
Chris Mepham;WAL;DF;Bournemouth;Premier League;25;18;17;0;0.35
Alex Meret;ITA;GK;Napoli;Serie A;25;21;21;0;0
Mikel Merino;ESP;MF;Real Sociedad;La Liga;26;16;15;1;1.68
Quentin Merlin;FRA;DF;Nantes;Ligue 1;20;16;15;0;0.85
Yýldýrým Mert Çetin;TUR;DF;Lecce;Serie A;26;1;1;0;0
Roque Mesa;ESP;MF;Valladolid;La Liga;33;16;14;2;1.43
Illan Meslier;FRA;GK;Leeds United;Premier League;22;21;21;0;0
Lionel Messi;ARG;MFFW;Paris S-G;Ligue 1;35;18;18;10;4.57
Junior Messias;BRA;FWDF;Milan;Serie A;31;15;11;2;1.73
Thomas Meunier;BEL;DF;Dortmund;Bundesliga;31;9;7;0;0.63
Alexander Meyer;GER;GK;Dortmund;Bundesliga;31;4;4;0;0
Sven Michel;GER;FW;Union Berlin;Bundesliga;32;13;0;3;2.07
Alexander Mighten;ENG;FW;Nott'ham Forest;Premier League;20;1;0;0;0
Tommaso Milanese;ITA;MF;Cremonese;Serie A;20;2;0;0;0
Nikola Milenkovi?;SRB;DF;Fiorentina;Serie A;25;16;14;2;0.84
Arkadiusz Milik;POL;FW;Juventus;Serie A;28;17;10;6;2.64
Arkadiusz Milik;POL;FW;Marseille;Ligue 1;28;2;2;0;0.71
Sergej Milinkovi?-Savi?;SRB;MF;Lazio;Serie A;27;21;20;4;1.7
Vanja Milinkovi?-Savi?;SRB;GK;Torino;Serie A;25;22;22;0;0
Éder Militão;BRA;DF;Real Madrid;La Liga;25;16;14;3;0.89
Luka Milivojevi?;SRB;MF;Crystal Palace;Premier League;31;11;2;0;1.52
Luis Milla;ESP;MF;Getafe;La Liga;28;14;13;0;0.31
Pere Milla;ESP;FWMF;Elche;La Liga;30;19;14;6;1.57
Enzo Millot;FRA;MF;Stuttgart;Bundesliga;20;11;3;0;1.54
James Milner;ENG;DFMF;Liverpool;Premier League;37;14;5;0;0.98
Marko Milovanovi?;SRB;FW;Almería;La Liga;19;2;0;0;5
Kim Min-jae;KOR;DF;Napoli;Serie A;26;20;20;2;0.26
Yerry Mina;COL;DF;Everton;Premier League;28;3;3;1;1.15
Takumi Minamino;JPN;MFFW;Monaco;Ligue 1;28;12;7;1;1.89
Tyrone Mings;ENG;DF;Aston Villa;Premier League;29;19;19;0;0.05
Óscar Mingueza;ESP;DF;Celta Vigo;La Liga;23;16;10;0;0.28
Rafa Mir;ESP;FW;Sevilla;La Liga;25;14;9;3;3.76
Aleksei Miranchuk;RUS;MF;Torino;Serie A;27;16;14;4;1.86
Juan Miranda;ESP;DF;Betis;La Liga;23;5;3;0;0.67
Fabio Miretti;ITA;MFFW;Juventus;Serie A;19;18;9;0;1.85
Tyrick Mitchell;ENG;DF;Crystal Palace;Premier League;23;20;18;0;0.19
Kaoru Mitoma;JPN;FWDF;Brighton;Premier League;25;16;9;5;1.84
Aleksandar Mitrovi?;SRB;FW;Fulham;Premier League;28;19;19;11;4.2
Stefan Mitrovi?;SRB;DF;Getafe;La Liga;32;14;11;0;0.09
Maximilian Mittelstädt;GER;DF;Hertha BSC;Bundesliga;25;10;4;0;0.68
Henrikh Mkhitaryan;ARM;MF;Inter;Serie A;34;18;13;1;1.02
Anthony Modeste;FRA;FW;Dortmund;Bundesliga;34;14;7;2;2.53
Luka Modri?;CRO;MF;Real Madrid;La Liga;37;19;13;3;1.68
Terem Moffi;NGA;FW;Nice;Ligue 1;23;2;2;0;0.56
Terem Moffi;NGA;FW;Lorient;Ligue 1;23;18;17;12;2.14
Mostafa Mohamed;EGY;FW;Nantes;Ligue 1;25;22;12;5;2.54
Tobias Mohr;GER;DFMF;Schalke 04;Bundesliga;27;12;8;0;1.15
Johan Mojica;COL;DF;Villarreal;La Liga;30;9;4;0;0.2
Johan Mojica;COL;DFMF;Elche;La Liga;30;3;3;0;1
Clinton Mola;ENG;DF;Stuttgart;Bundesliga;21;1;0;0;0
Nahuel Molina;ARG;DF;Atlético Madrid;La Liga;24;16;16;0;0.59
Salvatore Molina;ITA;DF;Monza;Serie A;31;5;1;0;0.4
Florent Mollet;FRA;MFFW;Nantes;Ligue 1;31;3;2;0;1.18
Florent Mollet;FRA;MF;Schalke 04;Bundesliga;31;9;4;1;2.39
Jon Moncayola;ESP;MFFW;Osasuna;La Liga;24;20;12;0;1.76
Monchu;ESP;MF;Valladolid;La Liga;23;17;11;1;1.26
César Montes;MEX;DF;Espanyol;La Liga;25;5;4;0;0.29
Daniele Montevago;ITA;FW;Sampdoria;Serie A;19;6;3;0;2.69
Gonzalo Montiel;ARG;DF;Sevilla;La Liga;26;13;9;0;0.45
Lorenzo Montipò;ITA;GK;Hellas Verona;Serie A;26;21;21;0;0
Martín Montoya;ESP;DF;Betis;La Liga;31;3;3;0;0
Kieffer Moore;WAL;FW;Bournemouth;Premier League;30;20;12;4;1.37
Andrew Moran;IRL;FW;Brighton;Premier League;19;1;0;0;0
Álvaro Morata;ESP;FW;Atlético Madrid;La Liga;30;20;15;7;3.02
Jon Morcillo;ESP;FWMF;Athletic Club;La Liga;24;9;0;0;1.43
Alberto Moreno;ESP;DFFW;Villarreal;La Liga;30;10;7;0;1.04
Álex Moreno;ESP;DF;Aston Villa;Premier League;29;3;1;0;2.5
Álex Moreno;ESP;DF;Betis;La Liga;29;15;15;0;0.87
Diego Moreno;ESP;DF;Osasuna;La Liga;21;5;5;0;0.87
Gerard Moreno;ESP;FW;Villarreal;La Liga;30;12;11;5;2.75
Marlos Moreno;COL;MFDF;Troyes;Ligue 1;26;2;0;0;0
Tete Morente;ESP;MFDF;Elche;La Liga;26;15;9;0;1.35
Ilaix Moriba;GUI;MF;Valencia;La Liga;20;13;6;0;2.06
Manu Morlanes;ESP;MF;Villarreal;La Liga;24;4;2;0;0
Manu Morlanes;ESP;MF;Mallorca;La Liga;24;1;0;0;0
Nikola Moro;CRO;MF;Bologna;Serie A;24;9;4;0;1.09
Loren Morón;ESP;FW;Betis;La Liga;29;2;0;0;0
Cristhian Mosquera;COL;DF;Valencia;La Liga;18;3;1;0;1.25
Dany Mota;POR;FWMF;Monza;Serie A;24;15;11;3;1.35
Lebo Mothiba;RSA;FWMF;Strasbourg;Ligue 1;27;12;1;2;2.07
Youssoufa Moukoko;GER;FW;Dortmund;Bundesliga;18;18;11;6;2.76
Steve Mounié;BEN;FW;Brest;Ligue 1;28;9;6;4;4.04
Mason Mount;ENG;MFFW;Chelsea;Premier League;24;21;19;3;1.81
Lucas Moura;BRA;MFDF;Tottenham;Premier League;30;8;0;0;0.91
Bevic Moussiti-Oko;CGO;FW;Ajaccio;Ligue 1;28;17;7;1;2.56
João Moutinho;POR;MF;Wolves;Premier League;36;20;16;0;0.77
João Moutinho;POR;DFFW;Spezia;Serie A;25;4;0;0;0
Samuel Moutoussamy;COD;MF;Nantes;Ligue 1;26;19;13;0;1.24
Divin Mubama;ENG;FW;West Ham;Premier League;18;1;0;0;0
Mykhailo Mudryk;UKR;FW;Chelsea;Premier League;22;3;2;0;0.63
Nordi Mukiele;FRA;DF;Paris S-G;Ligue 1;25;17;10;0;0.89
Mert Müldür;TUR;DF;Sassuolo;Serie A;23;1;1;0;0
Florian Müller;GER;GK;Stuttgart;Bundesliga;25;19;19;0;0
Thomas Müller;GER;FWMF;Bayern Munich;Bundesliga;33;13;10;4;2.44
Abdul Mumin;GHA;DF;Rayo Vallecano;La Liga;24;4;2;0;0.48
Marshall Munetsi;ZIM;MF;Reims;Ligue 1;26;19;16;3;2
Iker Muniain;ESP;MF;Athletic Club;La Liga;30;18;13;0;1.63
Aihen Muñoz;ESP;DF;Real Sociedad;La Liga;25;11;9;0;0.36
