Player;Nation;Pos;Squad;Comp;Age;MP;Starts;Goals;Shots
Stefan Bell;GER;DF;Mainz 05;Bundesliga;31;16;12;0;0.24
Armel Bella Kotchap;GER;DF;Southampton;Premier League;21;13;13;0;0.88
Raoul Bellanova;ITA;DFMF;Inter;Serie A;22;10;0;0;1.11
Karim Bellarabi;GER;FW;Leverkusen;Bundesliga;32;6;1;0;0
Jean-Ricner Bellegarde;FRA;MF;Strasbourg;Ligue 1;24;19;19;1;1.19
Héctor Bellerín;ESP;DF;Barcelona;La Liga;27;3;1;0;0
Jude Bellingham;ENG;MF;Dortmund;Bundesliga;19;19;19;4;2.07
Jeanöel Belocian;FRA;DF;Rennes;Ligue 1;17;1;0;0;0
Andrea Belotti;ITA;FW;Roma;Serie A;29;18;2;0;1.78
Fran Beltrán;ESP;MF;Celta Vigo;La Liga;24;20;18;0;0.89
Eliesse Ben Seghir;FRA;FW;Monaco;Ligue 1;17;7;6;3;2.88
Salim Ben Seghir;FRA;MF;Marseille;Ligue 1;19;1;0;0;0
Wissam Ben Yedder;FRA;FW;Monaco;Ligue 1;32;19;16;14;2.46
Marco Benassi;ITA;DF;Fiorentina;Serie A;28;2;1;0;0
Marco Benassi;ITA;MF;Cremonese;Serie A;28;3;2;0;1.9
Ismaël Bennacer;ALG;MF;Milan;Serie A;25;19;16;1;0.45
Saïd Benrahma;ALG;FWMF;West Ham;Premier League;27;20;12;3;2.86
Ramy Bensebaini;ALG;DF;M'Gladbach;Bundesliga;27;18;18;5;1.4
Nabil Bentaleb;ALG;MF;Angers;Ligue 1;28;18;17;2;1.18
Rodrigo Bentancur;URU;MF;Tottenham;Premier League;25;18;17;5;0.9
Karim Benzema;FRA;FW;Real Madrid;La Liga;35;12;12;9;4.05
Domenico Berardi;ITA;FW;Sassuolo;Serie A;28;13;10;4;4.31
Yuri Berchiche;ESP;DF;Athletic Club;La Liga;33;12;11;0;1.24
Álex Berenguer;ESP;FW;Athletic Club;La Liga;27;20;16;3;1.97
Bartosz Bereszy?ski;POL;DF;Sampdoria;Serie A;30;15;15;0;0.23
Patrick Berg;NOR;MFFW;Lens;Ligue 1;25;3;0;0;0
Mitchell van Bergen;NED;FWDF;Reims;Ligue 1;23;18;5;0;2.43
Mergim Berisha;GER;FW;Augsburg;Bundesliga;24;14;14;6;2.91
Quentin Bernard;FRA;DF;Auxerre;Ligue 1;33;7;7;0;0
Paul Bernardoni;FRA;GK;Angers;Ligue 1;25;14;14;0;0
Juan Bernat;ESP;DF;Paris S-G;Ligue 1;29;17;11;1;0.45
Victor Bernth Kristiansen;DEN;DF;Leicester City;Premier League;20;2;2;0;0.53
Jason Berthomier;FRA;MF;Clermont Foot;Ligue 1;33;2;0;0;0
Beto;GNB;FW;Udinese;Serie A;25;21;13;7;2.31
Owen Bevan;WAL;DF;Bournemouth;Premier League;19;1;0;0;0
Matteo Bianchetti;ITA;DF;Cremonese;Serie A;29;15;13;1;0.43
Alessandro Bianco;ITA;MF;Fiorentina;Serie A;20;3;2;0;1.67
Giulian Biancone;FRA;DF;Nott'ham Forest;Premier League;22;2;0;0;0
Ermin Bi?ak?i?;BIH;DF;Hoffenheim;Bundesliga;33;2;0;0;0
Pedro Bigas;ESP;DF;Elche;La Liga;32;17;16;0;0.85
Jaka Bijol;SVN;DF;Udinese;Serie A;24;17;17;2;0.65
El Bilal Touré;MLI;FW;Almería;La Liga;21;15;11;4;2.31
El Bilal Touré;MLI;FW;Reims;Ligue 1;21;3;1;0;1
Philip Billing;DEN;MFFW;Bournemouth;Premier League;26;21;19;4;1.16
Jean-Claude Billong;CMR;MF;Clermont Foot;Ligue 1;29;1;0;0;0
